study,lean,n_moral,punishment_share
study1,Conservative,24605,0.6856
study1,Liberal,22863,0.6354
study1,Neutral,3016,0.6655
study1,None,623857,0.6252
study2,Conservative,18801,0.6634
study2,Liberal,24138,0.6456
study2,Neutral,3064,0.6456
study2,None,365629,0.612
study3,Conservative,1699,0.5438
study3,Liberal,2130,0.6019
study3,Neutral,174,0.6034
study3,None,74686,0.5425
study4,Conservative,1328,0.6566
study4,Liberal,2318,0.6199
study4,Neutral,156,0.6154
study4,None,157584,0.581
study5,Conservative,169,0.645
study5,Liberal,403,0.6675
study5,Neutral,25,0.68
study5,None,8562,0.6316
