study,size_tier,lean,n,outrage,binding
1,everyday,Conservative,5249,0.01519,0.01691
1,everyday,Liberal,5433,0.01338,0.01508
1,micro,Conservative,708,0.01411,0.01557
1,micro,Liberal,693,0.01321,0.01462
1,nano,Conservative,3595,0.01677,0.01852
1,nano,Liberal,3459,0.0121,0.0144
2,everyday,Conservative,5175,0.01967,0.03371
2,everyday,Liberal,6060,0.01863,0.03506
2,micro,Conservative,750,0.02076,0.0366
2,micro,Liberal,1334,0.02051,0.03412
2,nano,Conservative,4175,0.02113,0.03642
2,nano,Liberal,6183,0.01859,0.03481
3,everyday,Conservative,1798,0.01145,0.01455
3,everyday,Liberal,2685,0.00843,0.01317
3,micro,Conservative,444,0.01127,0.01863
3,micro,Liberal,687,0.01576,0.01809
3,nano,Conservative,1864,0.00986,0.01355
3,nano,Liberal,2345,0.01095,0.01874
4,everyday,Conservative,555,0.01333,0.0154
4,everyday,Liberal,1098,0.01139,0.00954
4,nano,Conservative,407,0.01372,0.01319
4,nano,Liberal,790,0.01209,0.01126
5,everyday,Conservative,579,0.01304,0.0185
5,everyday,Liberal,1427,0.00915,0.01792
5,micro,Liberal,636,0.01083,0.01859
5,nano,Conservative,712,0.01164,0.01554
5,nano,Liberal,2199,0.01054,0.01527
