"source","target","weight"
"black","queer",0.0423
"queer","nerd",0.024
"black","writer",0.0228
"queer","writer",0.0358
"nerd","writer",0.0401
"nerd","fan",0.0375
"writer","fan",0.0351
"fan","owner",0.0271
"fan","family",0.0279
"family","country",0.1463
"black","matter",0.3095
"family","usa",0.0348
"country","usa",0.0334
"fan","army",0.0299
"country","army",0.0227
"fan","veteran",0.0239
"owner","veteran",0.0225
"family","veteran",0.0275
"country","veteran",0.0377
"army","veteran",0.1881
"family","🇺🇸",0.0477
"country","🇺🇸",0.0731
"usa","🇺🇸",0.0595
"army","🇺🇸",0.0316
"veteran","🇺🇸",0.0467
"black","life",0.0672
"writer","life",0.0233
"fan","life",0.0406
"family","life",0.0588
"country","life",0.0254
"matter","life",0.0999
"🇺🇸","life",0.0224
"nerd","mom",0.0245
"writer","mom",0.0346
"fan","mom",0.0327
"owner","mom",0.0315
"family","mom",0.0297
"country","mom",0.0233
"army","mom",0.0251
"veteran","mom",0.022
"🇺🇸","mom",0.037
"life","mom",0.0353
"country","independent",0.0213
"veteran","independent",0.0267
"black","human",0.0206
"writer","human",0.0246
"equality","human",0.035
"matter","human",0.0284
"life","human",0.0268
"mom","human",0.0298
"writer","world",0.0214
"fan","world",0.0235
"family","world",0.0216
"country","world",0.0271
"life","world",0.0318
"human","world",0.0251
"family","god",0.1741
"country","god",0.1431
"usa","god",0.053
"veteran","god",0.0254
"🇺🇸","god",0.0709
"life","god",0.0524
"mom","god",0.0269
"world","god",0.0225
"black","pro",0.0206
"equality","pro",0.0254
"fan","pro",0.0265
"family","pro",0.0222
"🇺🇸","pro",0.0299
"life","pro",0.0497
"god","pro",0.0263
"nerd","lover",0.0427
"writer","lover",0.0581
"fan","lover",0.072
"owner","lover",0.0304
"family","lover",0.0314
"country","lover",0.0208
"veteran","lover",0.0212
"🇺🇸","lover",0.0219
"life","lover",0.0519
"mom","lover",0.076
"human","lover",0.0275
"world","lover",0.0254
"god","lover",0.0374
"pro","lover",0.0203
"writer","social",0.0326
"equality","social",0.0285
"human","social",0.0275
"lover","social",0.0239
"fan","great",0.0205
"family","great",0.0318
"country","great",0.0474
"🇺🇸","great",0.0222
"life","great",0.0333
"mom","great",0.0216
"world","great",0.0315
"god","great",0.0425
"lover","great",0.0205
"country","free",0.0207
"🇺🇸","free",0.0213
"life","free",0.0244
"independent","free",0.023
"world","free",0.0231
"pro","free",0.0253
"fan","retire",0.0245
"family","retire",0.0282
"country","retire",0.0248
"army","retire",0.0538
"veteran","retire",0.0572
"🇺🇸","retire",0.0215
"life","retire",0.0274
"mom","retire",0.0325
"lover","retire",0.0271
"black","love",0.027
"nerd","love",0.0215
"writer","love",0.0246
"equality","love",0.0217
"fan","love",0.0579
"family","love",0.1475
"country","love",0.1207
"matter","love",0.0268
"usa","love",0.0391
"army","love",0.027
"veteran","love",0.0277
"🇺🇸","love",0.0446
"life","love",0.1183
"mom","love",0.0538
"human","love",0.0318
