"term","lean","degree","x","y","pole"
"black",-0.0249,19,8.483,-7.487,false
"queer",-0.0265,12,13.749,-8.28,false
"nerd",-0.0251,17,9.614,-0.33,false
"writer",-0.0262,31,8.716,-2.312,false
"equality",-0.033,19,3.512,-9.537,false
"fan",-0.0051,43,4.298,-1.478,false
"owner",0.0279,15,3.753,3.846,false
"family",0.0586,48,0.556,-1.984,false
"country",0.0503,58,0.016,-3.488,false
"matter",-0.0269,13,7.012,-7.634,false
"usa",0.0495,18,-5.205,-2.821,false
"army",0.0368,23,-0.351,2.407,false
"veteran",0.031,44,-0.198,0.55,false
"🇺🇸",0.0851,51,-1.569,-2.815,false
"life",0.0067,48,2.776,-4.146,false
"mom",-0.0111,60,3.523,-2.999,false
"independent",0.0213,16,7.199,-4.619,false
"human",-0.0296,31,7.196,-5.827,false
"world",-0.0244,26,2.824,-1.76,false
"god",0.0727,48,-1.085,-2.898,false
"pro",0.0282,33,0.554,-6.815,false
"lover",-0.0172,66,3.934,-3.541,false
"social",-0.0463,21,8.105,-3.76,false
"radical",-0.0473,3,17.166,-7.342,false
"great",0.0356,32,0.451,0.249,false
"free",0.0059,25,0.787,-8.053,false
"labor",-0.0339,10,11.943,-4.113,false
"retire",0.0056,49,2.099,-0.022,false
"love",0.0225,86,1.625,-3.351,false
"win",0.0498,7,-6.72,-7.994,false
"year",0.0052,26,2.183,2.663,false
"work",-0.0259,25,5.302,-0.543,false
"live",-0.0032,28,5.083,-4.009,false
"trans",-0.027,16,10.626,-9.827,false
"woman",-0.0051,24,4.862,-7.329,false
"proud",-0.0053,88,2.687,-2.642,false
"american",0.0538,61,0.494,-2.863,false
"fuck",0.002,7,7.359,-15.983,false
"#maga",0.1295,37,-2.752,-2.281,false
"follow",0.0058,16,-3.435,-5.015,false
"president",0.0679,23,-2.221,-5.388,false
"af",-0.0242,6,15.319,-4.914,false
"feminist",-0.0654,25,10.458,-7.042,false
"conservative",0.1296,114,0.883,-3.635,true
"history",-0.0267,17,7.708,0.149,false
"politics",-0.0223,31,6.186,-2.902,false
"leave",-0.0146,10,11.567,-2.982,false
"advocate",-0.0292,30,5.896,-4.365,false
"husband",0.0224,47,1.647,0.953,false
"father",0.0273,53,1.628,0.418,false
"white",9e-04,11,8.087,-12.42,false
"christian",0.1296,47,-0.169,-0.839,false
"mother",0.0049,40,3.388,-1.242,false
"freedom",0.0282,40,-0.921,-6.186,false
"texas",0.025,6,6.642,5.809,false
"support",0.0224,34,0.783,-5.649,false
"junkie",-0.0295,15,8.261,1.354,false
"small",0.0261,6,3.397,7.534,false
"state",0.0025,21,3.653,-0.019,false
