type,person,event_date,precision,event,consequence_date,consequence,source,tweets_in_window
Academics,Amy Wax,2021-12-20,day,Podcast remarks on Asian immigration aired,,,https://www.phillyvoice.com/penn-law-amy-wax-asians-immigration-glenn-loury-racism/,1494
Academics,David Collum,2020-06-05,±1 day,Tweets about Buffalo police shoving a protester,2020-06-08,Steps down as director of undergraduate studies,https://cornellsun.com/2020/06/08/collum-steps-down-from-top-chemistry-department-position-amid-intense-backlash-over-tweets-defending-alleged-police-brutality/,65
Academics,David Starkey,2020-06-30,day,Slavery remarks in podcast interview,2020-07-03,Resigns Cambridge fellowship,https://en.wikipedia.org/wiki/David_Starkey,9524
Academics,Gordon Klein,2020-06-02,±1 day,Replies to student email refusing exam leniency,2020-06-03,Placed on leave,https://reason.com/volokh/2020/06/10/ucla-business-school-lecturer-placed-on-leave-for-e-mail-to-student-rejecting-request-for-exam-leniency-for-black-students/,971
Academics,Greg Patton,2020-08-20,day,Uses Mandarin filler word in class,2020-08-25,Removed from course,https://www.foxnews.com/us/california-usc-professor-removed-chinese-n-word,370
Academics,Joel Poor,2020-08-24,day,Wuhan comment in class,2020-08-24,Relieved of teaching duties,https://www.insidehighered.com/news/2020/08/26/missouri-professor-reassigned-teaching-after-comments-student-wuhan,286
Academics,John McAdams,2014-11-09,day,Blog post naming a graduate instructor,,,https://www.insidehighered.com/news/2014/11/20/marquette-u-grad-student-shes-being-targeted-after-ending-class-discussion-gay,25
Academics,Li-Meng Yan,2020-09-14,±1 day,Lab-origin preprint released,,,https://en.wikipedia.org/wiki/Li-Meng_Yan,7351
Academics,Mark Hecht,2019-09-07,day,Op-ed on diversity published,2019-10-23,Field school cancelled,https://www.cbc.ca/news/canada/calgary/mark-hecht-vancouver-sun-op-ed-1.5274962,261
Academics,Michael Rectenwald,2016-10-24,day,Reveals identity behind anti-PC Twitter account,2016-10-30,Paid leave reported,https://nyunews.com/2016/10/31/anti-pc-nyu-professor-put-on-paid-leave/,66
Academics,Mike Adams,2020-05-29,day,"""Massa Cooper, let my people go"" tweet",2020-06-29,Retirement announced,https://en.wikipedia.org/wiki/Mike_Adams_(columnist),1844
Celebrities,Aaron Rodgers,2021-08-26,day,"Says ""Yeah, I've been immunized""",,,https://www.today.com/popculture/aaron-rodgers-controversies-rcna183430,43
Celebrities,Dave Chappelle,2021-10-05,day,The Closer released on Netflix,,,https://en.wikipedia.org/wiki/The_Closer_(2021_film),27839
Celebrities,Kanye West,2022-10-03,day,"""White Lives Matter"" shirt at Paris show",2022-10-25,Adidas ends partnership,https://www.npr.org/2022/10/09/1127732183/kanye-west-instagram-twitter,1753
Celebrities,Lindsay Ellis,2021-03-26,day,Raya/Avatar tweet,,,https://krithikasrinivasans.medium.com/i-read-20-000-tweets-from-the-lindsay-ellis-cancellation-and-heres-what-i-learned-eef69894c15b,10092
Celebrities,Travis Scott,2021-11-05,day,Astroworld crowd crush,,,https://www.nbcnews.com/news/us-news/travis-scott-grand-jury-rcna91901,242344
Celebrities,Will Smith,2022-03-27,day,Oscars slap,2022-04-01,Resigns from the Academy,https://www.aljazeera.com/news/2022/4/8/will-smith-10-year-oscars-ban,10257
Civilians,Aaron Schlossberg,2018-05-15,±1 day,Rant at restaurant staff (video posted within a day),,,https://www.cbsnews.com/news/nyc-lawyer-aaron-schlossberg-who-went-on-racist-rant-against-spanish-speaking-workers-apologizes-fresh-kitchen/,21517
Civilians,BBQ Becky,2018-04-29,day,Calls police on Black barbecuers; video posted the same day,,,https://knowyourmeme.com/memes/bbq-becky,6254
Civilians,Justine Sacco,2013-12-20,day,AIDS tweet before flight,2013-12-21,Fired,https://abcnews.go.com/International/woman-fired-tweet-aids-africa/story?id=21298519,32514
Civilians,Permit Patty,2018-06-23,±1 day,Calls police on child selling water,,,https://6abc.com/permit-patty-att-park-water-bottle-viral-video-8-year-old-cops/3649646/,21234
Civilians,Pool Patrol Paula,2018-06-24,±1 day,Pool incident,,,https://www.wbtv.com/story/38540622/sc-woman-dubbed-pool-patrol-paula-charged-with-assaulting-black-teen-at-swimming-pool/,2691
Civilians,Rhonda Polon,2018-08-04,day,Coffee-throwing incident (date provided by Zach),,,https://www.latinorebels.com/2018/08/12/womanwhothrewhotcoffeeidentified/,295
