study,lean,n,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,sanctity,degradation,moral_general,moral_total,outrage_proxy,individualizing,binding
Cancel Culture,Conservative,123078,0.003387,0.007722,0.001747,0.001016,0.004396,0.001433,0.005361,0.002786,0.001051,0.002512,0.010901,0.042313,0.015469,0.013872,0.017539
Cancel Culture,Liberal,125000,0.003303,0.006489,0.001944,0.00133,0.003231,0.001177,0.004719,0.002417,0.000966,0.001796,0.010522,0.037894,0.013209,0.013067,0.014305
Cancel Culture,Neutral,13982,0.003853,0.006782,0.001855,0.001,0.003851,0.001417,0.004941,0.002629,0.000935,0.002258,0.010788,0.040308,0.014085,0.013489,0.016031
Is Over Party,Liberal,88347,0.004532,0.008337,0.002211,0.000752,0.010328,0.003171,0.012846,0.003877,0.001817,0.002046,0.011844,0.061761,0.018183,0.015832,0.034085
Is Over Party,Conservative,65070,0.004681,0.008492,0.002131,0.000699,0.010623,0.003866,0.011832,0.004734,0.001776,0.002499,0.012462,0.063797,0.020291,0.016003,0.035331
Is Over Party,Neutral,10361,0.005274,0.008248,0.002101,0.000776,0.011594,0.004246,0.011791,0.004715,0.001759,0.00243,0.012046,0.064981,0.020416,0.016399,0.036535
Academics,Conservative,10753,0.003711,0.005248,0.003636,0.000709,0.00353,0.001929,0.005028,0.001992,0.001204,0.001381,0.008816,0.037183,0.011259,0.013305,0.015063
Academics,Liberal,14841,0.003271,0.005513,0.001701,0.00077,0.004246,0.001117,0.006291,0.001599,0.001541,0.001227,0.00926,0.036536,0.010226,0.011255,0.016021
Academics,Neutral,1246,0.003227,0.005153,0.0017,0.000596,0.005347,0.002934,0.005899,0.001492,0.002479,0.001603,0.008178,0.038609,0.011778,0.010677,0.019754
Celebrities,Conservative,6365,0.005653,0.009375,0.001519,0.000312,0.004369,0.000398,0.003105,0.001604,0.000853,0.00214,0.008697,0.038024,0.013829,0.016859,0.012469
Celebrities,Liberal,12157,0.004885,0.008621,0.00168,0.000554,0.00381,0.000406,0.003216,0.001123,0.001772,0.002266,0.010487,0.038821,0.01297,0.015741,0.012593
Celebrities,Neutral,838,0.005676,0.008269,0.001287,0.000409,0.003124,0.00051,0.003626,0.001588,0.001086,0.002243,0.008687,0.036505,0.01302,0.015641,0.012177
Civilians,Liberal,4228,0.002021,0.003735,0.000772,0.002979,0.002918,0.001015,0.009315,0.001306,0.000963,0.0012,0.011353,0.037578,0.010235,0.009507,0.016717
Civilians,Conservative,1509,0.002785,0.003981,0.001338,0.003609,0.002771,0.001177,0.009698,0.001109,0.000647,0.001936,0.011929,0.040979,0.011812,0.011713,0.017338
Civilians,Neutral,324,0.00198,0.002651,0.0,0.003548,0.004134,0.001157,0.010722,0.000123,0.00022,0.002006,0.009877,0.036421,0.009486,0.00818,0.018364
