type,rel,tweets,people,by_tweets,by_people
Academics,-30,84,3,1.67,1.95
Academics,-29,70,3,0.91,0.98
Academics,-28,73,3,5.61,7.97
Academics,-27,46,3,7.18,9.78
Academics,-26,61,3,7.09,10.16
Academics,-25,46,3,6.76,9.39
Academics,-24,50,3,6.37,8.43
Academics,-23,43,3,7.23,8.93
Academics,-22,37,3,10.14,12.18
Academics,-21,41,3,10.58,12.28
Academics,-20,28,2,9.13,10.41
Academics,-19,41,3,9.93,10.36
Academics,-18,40,3,10.0,10.05
Academics,-17,49,3,11.16,11.44
Academics,-16,25,3,11.81,11.63
Academics,-15,37,3,9.63,9.32
Academics,-14,45,3,6.76,6.79
Academics,-13,24,2,7.75,8.57
Academics,-12,31,3,6.66,7.75
Academics,-11,21,3,7.14,8.25
Academics,-10,27,3,5.81,6.72
Academics,-9,34,3,5.47,6.5
Academics,-8,24,2,4.69,5.56
Academics,-7,24,3,4.88,5.82
Academics,-6,47,3,5.12,4.87
Academics,-5,145,3,3.96,4.52
Academics,-4,64,3,3.41,3.61
Academics,-3,199,3,4.12,3.99
Academics,-2,307,3,4.0,3.52
Academics,-1,325,3,3.58,4.02
Academics,0,605,6,7.97,9.07
Academics,1,675,7,6.7,9.52
Academics,2,5206,8,7.76,10.73
Academics,3,3607,7,7.54,13.13
Academics,4,920,6,7.57,14.67
Academics,5,512,6,7.7,14.6
Academics,6,930,6,7.48,13.39
Academics,7,626,5,7.39,13.05
Academics,8,814,5,7.25,13.04
Academics,9,778,6,6.47,11.66
Academics,10,420,5,5.85,9.37
Academics,11,173,5,5.47,7.07
Academics,12,170,4,4.98,6.31
Academics,13,244,5,5.24,6.57
Academics,14,621,5,6.13,6.58
Academics,15,329,6,7.44,6.52
Academics,16,364,6,12.15,7.88
Academics,17,242,6,13.91,8.5
Academics,18,162,7,13.86,8.36
Academics,19,174,6,13.87,8.12
Academics,20,117,5,14.35,8.46
Academics,21,200,5,16.7,10.16
Academics,22,196,4,17.98,10.91
Academics,23,239,5,11.92,10.22
Academics,24,647,5,11.13,10.05
Academics,25,369,6,11.8,10.53
Academics,26,140,5,12.18,11.17
Academics,27,173,5,13.0,11.6
Academics,28,164,5,12.28,9.97
Academics,29,195,5,11.64,9.46
Academics,30,157,5,12.87,9.9
Celebrities,-30,246,3,2.98,13.51
Celebrities,-29,285,3,3.67,8.72
Celebrities,-28,237,3,3.48,7.36
Celebrities,-27,157,3,3.24,6.33
Celebrities,-26,168,3,3.39,7.82
Celebrities,-25,171,3,3.23,6.95
Celebrities,-24,228,3,3.59,6.69
Celebrities,-23,277,3,3.75,5.47
Celebrities,-22,302,3,3.9,5.33
Celebrities,-21,213,3,4.03,5.73
Celebrities,-20,149,3,4.32,6.01
Celebrities,-19,142,3,4.14,4.19
Celebrities,-18,247,3,4.08,4.36
Celebrities,-17,280,3,3.45,4.81
Celebrities,-16,291,3,2.9,4.14
Celebrities,-15,254,3,2.45,4.35
Celebrities,-14,216,3,2.16,3.66
Celebrities,-13,188,2,1.86,3.05
Celebrities,-12,276,3,1.67,3.22
Celebrities,-11,299,2,1.46,2.77
Celebrities,-10,2389,2,2.35,2.4
Celebrities,-9,1192,2,2.43,3.53
Celebrities,-8,636,3,2.55,4.48
Celebrities,-7,313,2,2.52,4.66
Celebrities,-6,283,3,2.54,4.8
Celebrities,-5,245,3,2.59,4.97
Celebrities,-4,408,3,2.68,5.19
Celebrities,-3,531,3,2.41,4.76
Celebrities,-2,885,3,2.62,3.74
Celebrities,-1,1502,3,2.34,2.33
Celebrities,0,3585,4,3.42,5.34
Celebrities,1,89988,5,8.92,9.2
Celebrities,2,34746,5,10.29,10.58
Celebrities,3,29047,5,10.51,10.78
Celebrities,4,21189,5,10.7,11.45
Celebrities,5,13541,5,10.67,11.98
Celebrities,6,11120,5,10.61,11.67
Celebrities,7,9449,5,10.75,12.52
Celebrities,8,5066,5,11.8,11.77
Celebrities,9,3968,5,10.85,11.81
Celebrities,10,8742,5,11.11,11.64
Celebrities,11,4036,4,10.44,10.48
Celebrities,12,3249,4,10.26,9.45
Celebrities,13,2929,5,10.26,9.39
Celebrities,14,2615,5,9.94,10.14
Celebrities,15,3245,5,10.51,10.09
Celebrities,16,3309,5,10.91,9.62
Celebrities,17,2025,5,9.21,9.8
Celebrities,18,1913,5,9.79,10.3
Celebrities,19,1673,6,10.27,10.44
Celebrities,20,3967,5,9.86,10.57
Celebrities,21,3889,5,9.87,10.66
Celebrities,22,2211,5,9.45,11.49
Celebrities,23,2158,5,9.0,11.23
Celebrities,24,1620,5,8.73,10.73
Celebrities,25,1660,5,8.38,10.8
Celebrities,26,2467,5,8.6,11.9
Celebrities,27,3105,5,8.72,11.9
Celebrities,28,1293,5,8.41,11.18
Celebrities,29,886,5,8.11,10.19
Celebrities,30,627,5,7.84,9.64
Civilians,-30,1,0,,
Civilians,-29,0,0,,
Civilians,-28,0,0,,
Civilians,-27,0,0,,
Civilians,-26,0,0,,
Civilians,-25,0,0,,
Civilians,-24,0,0,,
Civilians,-23,0,0,,
Civilians,-22,0,0,,
Civilians,-21,0,0,,
Civilians,-20,0,0,,
Civilians,-19,0,0,,
Civilians,-18,0,0,,
Civilians,-17,0,0,,
Civilians,-16,1,0,,
Civilians,-15,1,0,,
Civilians,-14,1,0,,
Civilians,-13,0,0,,
Civilians,-12,0,0,,
Civilians,-11,1,0,,
Civilians,-10,1,0,,
Civilians,-9,1,0,,
Civilians,-8,0,0,,
Civilians,-7,0,0,,
Civilians,-6,0,0,,
Civilians,-5,0,0,,
Civilians,-4,1,0,,
Civilians,-3,0,0,,
Civilians,-2,1,0,,
Civilians,-1,1,0,,
Civilians,0,4157,2,8.3,6.65
Civilians,1,33474,3,7.36,8.07
Civilians,2,15553,3,7.84,8.06
Civilians,3,8704,4,8.08,8.29
Civilians,4,4531,4,8.17,8.27
Civilians,5,2122,4,8.11,7.9
Civilians,6,1528,4,8.14,7.8
Civilians,7,1923,4,8.18,7.83
Civilians,8,1822,5,9.01,7.35
Civilians,9,809,5,8.95,7.12
Civilians,10,431,5,8.45,6.83
Civilians,11,356,5,7.93,6.52
Civilians,12,210,5,8.28,6.4
Civilians,13,226,6,8.18,7.36
Civilians,14,269,6,7.19,7.06
Civilians,15,296,6,6.77,6.87
Civilians,16,734,5,6.13,7.02
Civilians,17,1095,5,6.55,7.35
Civilians,18,1054,6,6.74,7.4
Civilians,19,768,5,6.65,7.9
Civilians,20,863,5,10.35,8.81
Civilians,21,722,5,11.28,10.54
Civilians,22,610,5,11.21,11.42
Civilians,23,570,5,11.33,13.0
Civilians,24,426,5,11.7,14.71
Civilians,25,277,3,12.34,14.3
Civilians,26,244,4,13.38,13.77
Civilians,27,141,2,8.4,11.84
Civilians,28,137,5,6.05,12.06
Civilians,29,199,4,5.31,11.35
Civilians,30,244,5,5.41,10.65
