side,dialogue_act,speaker,mean,lower,upper,tau,k_studies
perceiver,acknowledgment,interactant,0.1132,0.0905,0.1359,0.0,5
perceiver,acknowledgment,target,0.0949,0.0531,0.1367,0.0307,5
perceiver,agreement,interactant,0.1211,0.114,0.1282,0.005,6
perceiver,agreement,target,0.1201,0.1157,0.1246,0.0,6
perceiver,disagreement,interactant,0.1287,0.096,0.1614,0.0292,4
perceiver,disagreement,target,0.128,0.1008,0.1552,0.0241,4
perceiver,functional,interactant,0.1355,0.1026,0.1685,0.0303,4
perceiver,functional,target,0.1352,0.0974,0.173,0.0349,4
perceiver,inform,interactant,0.1321,0.1057,0.1585,0.0254,5
perceiver,inform,target,0.1274,0.1128,0.1419,0.0125,5
perceiver,question,interactant,0.1392,0.1072,0.1711,0.0323,6
perceiver,question,target,0.1415,0.1081,0.175,0.0335,6
perceiver,suggestion,interactant,0.1497,0.1214,0.178,0.0149,4
perceiver,suggestion,target,0.1627,0.1052,0.2202,0.0501,4
target,acknowledgment,interactant,0.1168,0.0913,0.1424,0.0,5
target,acknowledgment,target,0.1229,0.0965,0.1494,0.0,5
target,agreement,interactant,0.1211,0.1145,0.1276,0.0022,5
target,agreement,target,0.1272,0.1127,0.1417,0.0109,5
target,disagreement,interactant,0.1325,0.0915,0.1736,0.0371,4
target,disagreement,target,0.1385,0.0981,0.1789,0.039,4
target,functional,interactant,0.1449,0.1081,0.1817,0.0345,4
target,functional,target,0.1558,0.1091,0.2025,0.0452,4
target,inform,interactant,0.1506,0.1217,0.1796,0.0241,3
target,inform,target,0.158,0.1189,0.1971,0.033,3
target,question,interactant,0.1396,0.11,0.1692,0.0278,5
target,question,target,0.1495,0.113,0.1859,0.036,5
target,suggestion,interactant,0.162,0.1247,0.1993,0.0279,4
target,suggestion,target,0.182,0.1289,0.2351,0.0449,4
