side,level,study,paradigm,speaker,time,mean,median,lower,upper
perceiver,study,New Mothers,Standard stimulus,Interactant,0.0,0.2398,0.1906,0.161,0.3538
perceiver,study,New Mothers,Standard stimulus,Interactant,0.0204,0.2061,0.1743,0.1613,0.2777
perceiver,study,New Mothers,Standard stimulus,Interactant,0.0408,0.1763,0.1686,0.1569,0.212
perceiver,study,New Mothers,Standard stimulus,Interactant,0.0612,0.1535,0.1631,0.1163,0.172
perceiver,study,New Mothers,Standard stimulus,Interactant,0.0816,0.1392,0.1612,0.0883,0.1701
perceiver,study,New Mothers,Standard stimulus,Interactant,0.102,0.1332,0.1604,0.0753,0.1703
perceiver,study,New Mothers,Standard stimulus,Interactant,0.1224,0.134,0.1614,0.0749,0.171
perceiver,study,New Mothers,Standard stimulus,Interactant,0.1429,0.1392,0.1628,0.0842,0.1716
perceiver,study,New Mothers,Standard stimulus,Interactant,0.1633,0.1462,0.1643,0.0975,0.1725
perceiver,study,New Mothers,Standard stimulus,Interactant,0.1837,0.1529,0.166,0.1103,0.1739
perceiver,study,New Mothers,Standard stimulus,Interactant,0.2041,0.1576,0.167,0.1194,0.1756
perceiver,study,New Mothers,Standard stimulus,Interactant,0.2245,0.1601,0.1676,0.1243,0.1768
perceiver,study,New Mothers,Standard stimulus,Interactant,0.2449,0.1607,0.1677,0.1269,0.1771
perceiver,study,New Mothers,Standard stimulus,Interactant,0.2653,0.1606,0.1675,0.1279,0.1768
perceiver,study,New Mothers,Standard stimulus,Interactant,0.2857,0.1611,0.1675,0.1294,0.1774
perceiver,study,New Mothers,Standard stimulus,Interactant,0.3061,0.1632,0.1678,0.1343,0.1794
perceiver,study,New Mothers,Standard stimulus,Interactant,0.3265,0.1677,0.1687,0.1436,0.1892
perceiver,study,New Mothers,Standard stimulus,Interactant,0.3469,0.1743,0.1704,0.1579,0.2025
perceiver,study,New Mothers,Standard stimulus,Interactant,0.3673,0.1823,0.172,0.163,0.218
perceiver,study,New Mothers,Standard stimulus,Interactant,0.3878,0.1901,0.1731,0.165,0.2336
perceiver,study,New Mothers,Standard stimulus,Interactant,0.4082,0.1963,0.175,0.1656,0.2457
perceiver,study,New Mothers,Standard stimulus,Interactant,0.4286,0.1997,0.1759,0.1661,0.2517
perceiver,study,New Mothers,Standard stimulus,Interactant,0.449,0.1995,0.1758,0.1664,0.2523
perceiver,study,New Mothers,Standard stimulus,Interactant,0.4694,0.196,0.1755,0.1666,0.245
